VARIABLES	"Variable		
Name"	Model Generated	Monetary	Default Variable	"Default		
Value"	"Automatic		
Label"																	
	yiviy_s	1	1	n/a	1E-13	income : imputed value : investment : simulated	imputed income from financial capital for means test social assistance	-	-	-	-	-	-	-	-	-	-	-	-	-			
	yiviy01_s	1	1	n/a	1E-13	income : imputed value : investment : 01 : simulated	imputed income from capital for means test income support elderly	-	-	-	-	-	-	-	-	-	-	-	-	-			
	yivpr_s	1	1	n/a	1E-13	income : imputed value : property : simulated	imputed value income from property (housing) for means test social assistance	-	-	-	-	-	-	-	-	-	-	-	-	-			
	yivpr01_s	1	1	n/a	1E-13	income : imputed value : property : 01 : simulated	imputed income from property for means test income support elderly	-	-	-	-	-	-	-	-	-	-	-	-	-			
	yivwg	0	1	n/a	0	income : imputed value : wage/salary	imputed hourly wage rate	-	imputed hourly wage rate	tax credit element - switched off	-	-	-	-	imputed wage (salario imputado)	imputed hourly wage rate	imputed hourly wage	-	-	-			
	yiy	0	1	n/a	0	income : investment	investment income	Investment income	investment income	investment income	investment income	"investment income (dividends, interests)"	-	Returns to investments (Vynosy z investic)	investment income (rendimientos del capital)	investment income	investment income	investment income	-	-			
	yiydv	0	1	n/a	0	income : investment : dividends	-	Investment income (Dividends)	dividend income	tax credit element - switched off	-	dividends	-	-	-	-	-	-	-	-			
	yiyit	0	1	n/a	0	income : investment : interests	-	-	interest income	-	-	interests	-	-	-	-	-	-	-	-			
	yiyitdp	0	1	yiy	0	income : investment : interests : deposits	-	Interests on deposits	-	-	-	-	-	-	-	-	-	-	-	-			
	yiyitob	0	1	n/a	0	income : investment : interests : other bonds	-	Interests on other bonds	-	-	-	-	-	-	-	-	-	-	-	-			
	yiyitsb	0	1	n/a	0	income : investment : interests : state bonds	-	Interests on state bonds deposits	-	-	-	-	-	-	-	-	-	-	-	-			
	yiynt	0	1	n/a	0	income : investment : not taxable	-	-	-	-	-	-	-	-	-	-	-	Non Taxable Invest income	-	-			
	yiyot	0	1	n/a	0	income : investment : other	-	-	other investment income	-	-	-	-	-	-	-	-	-	-	-			
	yiytx	0	1	n/a	0	income : investment : taxable	-	-	-	-	-	-	-	-	-	-	-	Taxable invest income	-	-			
	yls	0	1	n/a	0	income : lump sum	-	-	-	-	-	-	-	-	-	-	-	Lump sum income	-	-			
	ymn01_s	1	1	n/a	0.0000000000001	income : means : 01 : simulated	-	-	-	-	-	-	-	-	-	-	-	Means HB	-	-			
	ymn02_s	1	1	n/a	0.0000000000001	income : means : 02 : simulated	-	-	-	-	-	-	-	-	-	-	-	Means CTB	-	-			
	yot	0	1	n/a	0	income : other	income of children under 16	income of children under 16	income of children under 16	other incomes	other incomes	-	-	Income received by people aged unde 16 (prijem osob mladsich 16 let)	income of children under 16 (ingresos de menores de 16 anos)	income of children under 16	income of children under 16	"odd jobs, children earnings (taxable)"	-	-			
	ypp	0	1	n/a	0	income : private pension	Private pension	Private pension	private pension	private pension	-	-	-	Private pensions (Penze ze soukromych pojistmych planu)	private pension (pension privada)	private pension	private pension	personal pension	-	-			
	ypp01	0	1	n/a	0.0000000000001	income : private pension : 01	-	Integrative Private pension	-	-	-	-	-	-	-	-	-	-	-	-			
	ypp02	0	1	n/a	0.0000000000001	income : private pension : 02	-	Private pension	-	-	-	-	-	-	-	-	-	-	-	-			
	ypr	0	1	n/a	0	income : property	property income	property income	property income	property income	property income	-	-	Income from rental of property and land (prijmy z pronajmu majetku a pudy)	income from property (rendimientos por propiedad)	property income	property income	property income	-	-			
	yprld	0	1	n/a	0	income : property : land	-	-	-	-	-	imputed rent from land	-	-	-	-	-	-	-	-			
	yprro	0	1	n/a	0	income : property : royalties	-	-	royalties	-	-	royalties	-	-	-	-	-	-	-	-			
	yprrt	0	1	n/a	0	income : property : rent	-	-	rental income	Property: Income from rent	-	rent	-	Rent income (Prijmy z pronajmu)	income from rent (rendimientos por alquiler)	income from rent	income from rent	-	-	-			
	ypt	0	1	n/a	0	income : private transfers	private transfers received	private transfers received	private transfers received	"Property transfer (Mag�nszem�lyt?l kapott j�vedelem, t�mogat�s)"	-	-	-	Regular interhousehold cash transfers received (Pravidelne soukrome transfery prijate domacnosti)	private transfers (transferencias privadas)	private transfers received	private transfers received	-	-	-			
	ypt00	0	1	n/a	0	income : private transfers : main/basic	-	-	-	-	main private transfer	-	-	-	-	-	-	-	-	-			
	yptmp	0	1	n/a	0	income : private transfers : maintenance payment	-	Private transfers including maintenance payments	-	-	received maintenance payment	-	-	-	-	-	-	received maintenance payment	-	-			
	yptmpnt	0	1	n/a	0	income : private transfers : maintenance payment : not taxable	-	-	maintenance payments (non-taxable)	-	-	-	-	-	-	-	-	-	-	-			
	yptmptx	0	1	n/a	0	income : private transfers : maintenance payment : taxable	-	-	maintenance payments (taxable)	-	-	-	-	-	-	-	-	-	-	-			
	yptot	0	1	n/a	0	income : private transfers : other	-	Income received by people aged under 16	-	other private transfers	-	-	-	-	-	-	-	private transfers (non taxable)	-	-			
	yse	0	1	n/a	0	income : self employment	income from self-employment	income from self-employment	income from self-employment	self-employment income	-	self-employment income	Self-employment income	Cash benefits and losses from self-employment (Hrube prijmy z hlavniho podnikani)	self-employment income (rendimientos del trabajo por cuenta propia)	self-employment income	self-employment income	self-employment income	-	-			
	yseag	0	1	n/a	0	income : self employment : agriculture	-	-	self-employment income from agriculture	-	self-employment income from agriculture	-	-	-	-	-	-	-	-	-			
	ysebs	0	1	n/a	0	income : self employment : business	-	-	self-employment income from other than agriculture	-	self-employment income from business (non agriculture)	-	-	-	-	-	-	-	-	-			
	yseev	0	1	n/a	0	income : self employment : including evasion	-	Selfemp income including evasion	-	-	-	-	-	-	-	-	-	-	-	-			
	yseil	0	1	n/a	0	income : self employment : intellectual activities	-	-	-	tax credit element - switched off	-	-	-	-	-	-	-	-	-	-			
	yselo_s	1	1	n/a	0.0000000000001	income : self employment : loss : simulated	-	-	-	-	-	-	-	-	-	-	-	Self-employment loss	-	-			
	ysemy	0	0	n/a	0	income : self employment : months per year	-	-	-	-	self-employment income: no. months received in the year	-	-	Months self-employed  during last 12 months (pocet mesicu  behem poslednich 12 mesicu jako podnikatel)	no. of months receiving self-employment income (no. de meses recibiendo rendimientos del trabajo por cuenta propia)	no. of months receiving self-employment income	no. of months receiving self-employment income	-	-	-			
	ysena	0	1	n/a	0	income : self employment : non-registered activity	-	-	income from unregistered self-employment activities	-	-	-	-	-	-	-	-	-	-	-			
	ysenr	0	1	n/a	0	income : self employment : non reported	-	Non reported self-empl income	-	-	-	-	-	-	-	-	-	-	-	-			
	ysenr_s	1	1	n/a	1E-13	income : self employment : non reported : simulated	-	Non declared self-empl income	-	-	-	-	-	-	-	-	-	-	-	-			
	ysepv	0	1	n/a	0	income : self employment : previous	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	ysera	0	1	n/a	0	income : self employment : registered activity	-	-	income from registered self-employment activities	-	-	-	-	-	-	-	-	-	-	-			
	ysetx_s	1	1	n/a	1E-13	income : self employment : taxable : simulated	-	-	taxable income from self-employment	-	-	-	-	-	-	taxable income from self-employment	taxable self-employment income	-	-	-			
	ysv	0	1	n/a	0	income : severance pay	-	-	-	-	-	-	-	-	severance payment (indemnizaci�n por cese)	-	-	-	-	-			
	yunsv	0	1	n/a	0	income : unemployment : severance pay	-	Severance pay (Liquidazioni da lavoro - TFR)	severance pay	-	severance payment	-	-	-	-	severance pay	-	-	-	-			
	sys_end_var														-	-	-	-	-	-			
